Config:
	my_id = ctx-loss_3
	generator_type = resnet
	dir = ./noise_enhance
	pretrain_dir = None
	use_context_embed = False
	use_context_loss = True
	use_audio_processor = True
	use_mixed_precision = False
	use_DDP = False
	n_steps = 10000
	batch_size = 32
	lr = 0.0001
	b1 = 0.5
	b2 = 0.999
	n_cpu = 1
	sample_interval = 100
	verbose_interval = 100
	num_residual_blocks = 6
./noise_enhance
	./noise_enhance/cgan_samp_resnet_ctx-loss_3
	./noise_enhance/cgan_ckpt_resnet_ctx-loss_3
./noise_enhance/data/clean_trainset
	./noise_enhance/data/clean_testset
	./noise_enhance/data/noisy_trainset
	./noise_enhance/data/noisy_testset
./noise_enhance/data/noisy_trainset/p244_343.wav
	./noise_enhance/data/noisy_testset/p254_213.wav
Find 1 gpus available
CREATED Dataset - DataLoader
mixed precision training is OFF (torch.float32)
CREATED context_loss
CREATED adversarial_loss
CREATED ContextEncoder
input num channels =  1
CREATED ResnetGenerator
CREATED Discriminator
INIT WEIGHT
CREATED Optimizers
Model will be trained for: 10000 steps or 30 EPOCHS
[Step 6100/10000] [D loss: 0.230139] [G loss: 0.326616] [CTX loss: 0.102281]
[Step 6200/10000] [D loss: 0.229508] [G loss: 0.338481] [CTX loss: 0.103247]
[Step 6300/10000] [D loss: 0.226109] [G loss: 0.353354] [CTX loss: 0.102123]
[Step 6400/10000] [D loss: 0.227223] [G loss: 0.349863] [CTX loss: 0.103097]
[Step 6500/10000] [D loss: 0.228269] [G loss: 0.339628] [CTX loss: 0.102764]
[Step 6600/10000] [D loss: 0.226297] [G loss: 0.350892] [CTX loss: 0.102826]
[Step 6700/10000] [D loss: 0.224052] [G loss: 0.346757] [CTX loss: 0.101570]
[Step 6800/10000] [D loss: 0.229096] [G loss: 0.334465] [CTX loss: 0.099809]
[Step 6900/10000] [D loss: 0.233264] [G loss: 0.323524] [CTX loss: 0.101242]
[Step 7000/10000] [D loss: 0.235949] [G loss: 0.324947] [CTX loss: 0.101650]
[Step 7100/10000] [D loss: 0.234455] [G loss: 0.322026] [CTX loss: 0.102262]
[Step 7200/10000] [D loss: 0.234158] [G loss: 0.325537] [CTX loss: 0.101529]
[Step 7300/10000] [D loss: 0.249111] [G loss: 0.332402] [CTX loss: 0.101922]
[Step 7400/10000] [D loss: 0.233108] [G loss: 0.304506] [CTX loss: 0.100261]
[Step 7500/10000] [D loss: 0.234259] [G loss: 0.316148] [CTX loss: 0.101121]
[Step 7600/10000] [D loss: 0.236162] [G loss: 0.307927] [CTX loss: 0.098944]
[Step 7700/10000] [D loss: 0.234796] [G loss: 0.303900] [CTX loss: 0.097964]
[Step 7800/10000] [D loss: 0.233125] [G loss: 0.316253] [CTX loss: 0.100022]
[Step 7900/10000] [D loss: 0.236057] [G loss: 0.318348] [CTX loss: 0.099019]
[Step 8000/10000] [D loss: 0.239868] [G loss: 0.314269] [CTX loss: 0.098862]
[Step 8100/10000] [D loss: 0.240947] [G loss: 0.299520] [CTX loss: 0.097567]
[Step 8200/10000] [D loss: 0.235612] [G loss: 0.303999] [CTX loss: 0.098277]
[Step 8300/10000] [D loss: 0.243231] [G loss: 0.296930] [CTX loss: 0.097147]
[Step 8400/10000] [D loss: 0.239530] [G loss: 0.298414] [CTX loss: 0.096789]
[Step 8500/10000] [D loss: 0.239434] [G loss: 0.297185] [CTX loss: 0.097132]
[Step 8600/10000] [D loss: 0.248498] [G loss: 0.301891] [CTX loss: 0.097042]
[Step 8700/10000] [D loss: 0.237120] [G loss: 0.295450] [CTX loss: 0.096534]
[Step 8800/10000] [D loss: 0.242198] [G loss: 0.290424] [CTX loss: 0.096075]
[Step 8900/10000] [D loss: 0.239783] [G loss: 0.296011] [CTX loss: 0.095959]
[Step 9000/10000] [D loss: 0.239581] [G loss: 0.295530] [CTX loss: 0.096149]
[Step 9100/10000] [D loss: 0.240545] [G loss: 0.290481] [CTX loss: 0.095351]
[Step 9200/10000] [D loss: 0.243160] [G loss: 0.291112] [CTX loss: 0.095944]
[Step 9300/10000] [D loss: 0.240831] [G loss: 0.293287] [CTX loss: 0.095084]
[Step 9400/10000] [D loss: 0.246189] [G loss: 0.285814] [CTX loss: 0.095294]
[Step 9500/10000] [D loss: 0.246012] [G loss: 0.291326] [CTX loss: 0.096134]
[Step 9600/10000] [D loss: 0.246784] [G loss: 0.296809] [CTX loss: 0.095449]
[Step 9700/10000] [D loss: 0.238915] [G loss: 0.286535] [CTX loss: 0.094985]
[Step 9800/10000] [D loss: 0.239763] [G loss: 0.291177] [CTX loss: 0.095184]
[Step 9900/10000] [D loss: 0.244203] [G loss: 0.284168] [CTX loss: 0.094941]
