Config:
	my_id = ctx-emb-loss_1
	generator_type = resnet
	dir = ./PD_enhance
	pretrain_dir = None
	use_context_embed = True
	use_context_loss = True
	use_audio_processor = True
	use_mixed_precision = False
	use_DDP = False
	n_steps = 10000
	batch_size = 32
	lr = 0.0001
	b1 = 0.5
	b2 = 0.999
	n_cpu = 1
	sample_interval = 100
	verbose_interval = 100
	num_residual_blocks = 6
./PD_enhance
	./PD_enhance/cgan_samp_resnet_ctx-emb-loss_1
	./PD_enhance/cgan_ckpt_resnet_ctx-emb-loss_1
./PD_enhance/data/clean_trainset
	./PD_enhance/data/clean_testset
	./PD_enhance/data/noisy_trainset
	./PD_enhance/data/noisy_testset
./PD_enhance/data/noisy_trainset/sim_NM_amp_nn_pd01_h18_4.wav
	./PD_enhance/data/noisy_testset/sim_NM_amp_nn_pd06_h16_5.wav
Find 2 gpus available
CREATED Dataset - DataLoader
mixed precision training is OFF (torch.float32)
CREATED context_loss
CREATED adversarial_loss
CREATED ContextEncoder
input num channels =  13
CREATED ResnetGenerator
CREATED Discriminator
INIT WEIGHT
CREATED Optimizers
Model will be trained for: 10000 steps or 3334 EPOCHS
[Step 6100/10000] [D loss: 0.158470] [G loss: 0.513173] [CTX loss: 0.140428]
[Step 6200/10000] [D loss: 0.151768] [G loss: 0.574589] [CTX loss: 0.140852]
[Step 6300/10000] [D loss: 0.126664] [G loss: 0.597726] [CTX loss: 0.135955]
[Step 6400/10000] [D loss: 0.145048] [G loss: 0.543780] [CTX loss: 0.139119]
[Step 6500/10000] [D loss: 0.140385] [G loss: 0.578301] [CTX loss: 0.141064]
[Step 6600/10000] [D loss: 0.163217] [G loss: 0.558590] [CTX loss: 0.141037]
[Step 6700/10000] [D loss: 0.144628] [G loss: 0.563233] [CTX loss: 0.137456]
[Step 6800/10000] [D loss: 0.132530] [G loss: 0.565958] [CTX loss: 0.136545]
[Step 6900/10000] [D loss: 0.139722] [G loss: 0.606055] [CTX loss: 0.138310]
[Step 7000/10000] [D loss: 0.133609] [G loss: 0.568370] [CTX loss: 0.139969]
[Step 7100/10000] [D loss: 0.124780] [G loss: 0.608654] [CTX loss: 0.138504]
[Step 7200/10000] [D loss: 0.107585] [G loss: 0.613225] [CTX loss: 0.134516]
[Step 7300/10000] [D loss: 0.126454] [G loss: 0.657017] [CTX loss: 0.134639]
[Step 7400/10000] [D loss: 0.115542] [G loss: 0.621208] [CTX loss: 0.139368]
[Step 7500/10000] [D loss: 0.108526] [G loss: 0.636419] [CTX loss: 0.136715]
[Step 7600/10000] [D loss: 0.136028] [G loss: 0.647870] [CTX loss: 0.138480]
[Step 7700/10000] [D loss: 0.117919] [G loss: 0.636951] [CTX loss: 0.136933]
[Step 7800/10000] [D loss: 0.106889] [G loss: 0.653953] [CTX loss: 0.137779]
[Step 7900/10000] [D loss: 0.118563] [G loss: 0.636541] [CTX loss: 0.137437]
[Step 8000/10000] [D loss: 0.103863] [G loss: 0.668873] [CTX loss: 0.135528]
[Step 8100/10000] [D loss: 0.096687] [G loss: 0.701660] [CTX loss: 0.134726]
[Step 8200/10000] [D loss: 0.107475] [G loss: 0.684426] [CTX loss: 0.136816]
[Step 8300/10000] [D loss: 0.095677] [G loss: 0.693859] [CTX loss: 0.135214]
[Step 8400/10000] [D loss: 0.097946] [G loss: 0.702472] [CTX loss: 0.136500]
[Step 8500/10000] [D loss: 0.100989] [G loss: 0.722452] [CTX loss: 0.135304]
[Step 8600/10000] [D loss: 0.080038] [G loss: 0.736385] [CTX loss: 0.135125]
[Step 8700/10000] [D loss: 0.100148] [G loss: 0.716784] [CTX loss: 0.139460]
[Step 8800/10000] [D loss: 0.098641] [G loss: 0.675060] [CTX loss: 0.136760]
[Step 8900/10000] [D loss: 0.075321] [G loss: 0.724060] [CTX loss: 0.133154]
[Step 9000/10000] [D loss: 0.103916] [G loss: 0.727340] [CTX loss: 0.136016]
[Step 9100/10000] [D loss: 0.078840] [G loss: 0.719148] [CTX loss: 0.138158]
[Step 9200/10000] [D loss: 0.075750] [G loss: 0.743568] [CTX loss: 0.134828]
[Step 9300/10000] [D loss: 0.094172] [G loss: 0.816417] [CTX loss: 0.138536]
[Step 9400/10000] [D loss: 0.078828] [G loss: 0.736184] [CTX loss: 0.132317]
[Step 9500/10000] [D loss: 0.076294] [G loss: 0.777440] [CTX loss: 0.133918]
[Step 9600/10000] [D loss: 0.067222] [G loss: 0.762397] [CTX loss: 0.133473]
[Step 9700/10000] [D loss: 0.104582] [G loss: 0.754945] [CTX loss: 0.148798]
[Step 9800/10000] [D loss: 0.068855] [G loss: 0.782688] [CTX loss: 0.137385]
[Step 9900/10000] [D loss: 0.094730] [G loss: 0.728225] [CTX loss: 0.141277]
