wavfile,ground_truth,ASR_recognition,wer,cer,pesq
sim_NM_na_nn_pd15_h15_10,The cigar burned a hole in the desk top.,The cigar burned a hole in the desktop.,0.2222222222222222,0.025,1.031455397605896
sim_NM_na_nn_pd08_h14_4,Two plus seven is less than ten.,2 + 7 is less than 10.,0.5714285714285714,0.46875,1.0245472192764282
sim_NM_amp_nn_pd06_h16_2,A speedy man can beat this track mark.,A speedy man can be his this track mark.,0.25,0.10526315789473684,1.021222710609436
sim_NM_na_nn_oc16_h2_4,Kick the ball straight and follow through.,Kicked the ball straight and follow through.,0.14285714285714285,0.047619047619047616,1.0264084339141846
sim_NM_amp_nn_pd15_h15_6,Pure bred poodles have curls.,Purebred poodles have curls.,0.4,0.034482758620689655,1.032520055770874
sim_NM_na_nn_oc02_h17_6,Wood is best for making toys and blocks.,.,1.0,0.975,1.0319708585739136
sim_NM_amp_nn_oc07_h12_7,Weave the carpet on the right hand side.,Weave the carpet on the right hand side.,0.0,0.0,1.0333099365234375
sim_NM_amp_nn_oc11_h15_1,The young kid jumped the rusty gate.,The young kid jumped the rusty gate.,0.0,0.0,1.0316801071166992
sim_NM_na_nn_oc07_h12_2,Leaves turn brown and yellow in the fall.,Leaves turned brown and yellow in the fall.,0.125,0.04878048780487805,1.0255388021469116
sim_NM_na_nn_pd14_h18_5,Torn scraps littered the stone floor.,Torn scraps littered the stone floor.,0.0,0.0,1.021936297416687
sim_NM_amp_nn_pd09_h14_8,Clothes and lodging are free to new men.,Clothes and lodging are free to the new men.,0.125,0.1,1.043644905090332
sim_NM_amp_nn_oc17_h12_3,The pennant waved when the wind blew.,The Pennant waved when the wind blew.,0.14285714285714285,0.02702702702702703,1.0280194282531738
sim_NM_na_nn_oc16_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0261423587799072
sim_NM_na_nn_oc05_h2_5,Help the woman get back to her feet.,Help the woman get back to her feet.,0.0,0.0,1.022655963897705
sim_NM_na_nn_oc04_h15_3,A salt pickle tastes fine with ham.,A salt pickle tastes fine with ham.,0.0,0.0,1.0230705738067627
sim_NM_na_nn_oc07_h12_9,A lame back kept his score low.,Elaine Beck kept his score low.,0.42857142857142855,0.1935483870967742,1.0252307653427124
sim_NM_na_nn_oc07_h12_4,"Split the log with a quick, sharp blow.",.,1.0,0.9743589743589743,1.0228861570358276
sim_NM_amp_nn_pd08_h14_2,He said the same phrase thirty times.,He said the small phrase 30 times.,0.2857142857142857,0.24324324324324326,1.0367110967636108
sim_NM_na_nn_pd08_h14_2,He said the same phrase thirty times.,He said the small phrase 30 times.,0.2857142857142857,0.24324324324324326,1.0209593772888184
sim_NM_na_nn_pd16_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0279808044433594
sim_NM_na_nn_oc07_h12_8,Hemp is a weed found in parts of the tropics.,Hemp is a weed found in parts of the tropics.,0.0,0.0,1.0300240516662598
sim_NM_amp_nn_oc09_h14_3,Pluck the bright rose without leaves.,Pluck the bright rose without leaves.,0.0,0.0,1.0377446413040161
sim_NM_amp_nn_pd05_h2_6,A pot of tea helps to pass the evening.,Parity helps you pass the evening.,0.5555555555555556,0.3333333333333333,1.0291870832443237
sim_NM_na_nn_pd15_h15_1,The young kid jumped the rusty gate.,The young kid jumped the rusty gate.,0.0,0.0,1.0251106023788452
sim_NM_na_nn_pd04_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0212429761886597
sim_NM_na_nn_pd01_h18_5,Torn scraps littered the stone floor.,Torn scraps littered the stone floor.,0.0,0.0,1.0235460996627808
sim_NM_na_nn_oc04_h15_1,The young kid jumped the rusty gate.,The young kid jumped the rusty gate.,0.0,0.0,1.0236964225769043
sim_NM_amp_nn_oc02_h17_6,Wood is best for making toys and blocks.,What is best for making toys and blocks.,0.125,0.075,1.0415350198745728
sim_NM_na_nn_pd12_h10_9,Ten pins were set in order.,10 pins were set in order.,0.16666666666666666,0.1111111111111111,1.0517226457595825
sim_NM_na_nn_oc06_h16_4,The coffee stand is too high for the couch.,The coffee stand is too high for the couch.,0.0,0.0,1.0311464071273804
sim_NM_amp_nn_pd01_h18_8,The new girl was fired today at noon.,The New Girl was fired today at noon.,0.25,0.05405405405405406,1.026134729385376
sim_NM_amp_nn_pd16_h2_6,A pot of tea helps to pass the evening.,A pot of tea helps to pass the evening.,0.0,0.0,1.0350793600082397
sim_NM_amp_nn_pd04_h15_7,The tree top waved in a graceful way.,The tree top waved in a graceful way.,0.0,0.0,1.029237985610962
sim_NM_amp_nn_oc08_h14_5,The glow deepened in the eyes of the sweet girl.,The glow deepened in the eyes of the sweet girl.,0.0,0.0,1.0374888181686401
sim_NM_amp_nn_oc04_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0220310688018799
sim_NM_na_nn_oc16_h2_5,Help the woman get back to her feet.,Help the woman get back to her feet.,0.0,0.0,1.022987723350525
sim_NM_amp_nn_pd11_h15_6,Pure bred poodles have curls.,Prove it. Poodles have curls.,0.6,0.27586206896551724,1.0354504585266113
sim_NM_na_nn_oc16_h2_2,A rod is used to catch pink salmon.,A ride is used to catch pink salmon.,0.125,0.05714285714285714,1.0462310314178467
sim_NM_na_nn_pd16_h2_2,A rod is used to catch pink salmon.,A rod is used to catch pink salmon.,0.0,0.0,1.0298751592636108
sim_NM_na_nn_oc17_h12_5,Burn peat after the logs give out.,Burnt peat after the logs give out.,0.14285714285714285,0.029411764705882353,1.0638219118118286
sim_NM_amp_nn_oc06_h16_2,A speedy man can beat this track mark.,.,1.0,0.9736842105263158,1.0301120281219482
sim_NM_na_nn_pd11_h15_7,The tree top waved in a graceful way.,The tree top wave in a graceful way.,0.125,0.02702702702702703,1.0233585834503174
sim_NM_amp_nn_oc08_h14_8,Clothes and lodging are free to new men.,Clothes and lodging are free to new men.,0.0,0.0,1.0325700044631958
sim_NM_na_nn_pd12_h10_10,The bill was paid every third week.,The bill was paid every 3rd week.,0.14285714285714285,0.08571428571428572,1.0217430591583252
sim_NM_amp_nn_oc09_h14_6,Bring your problems to the wise chief.,"Bring your problems to the wise, chief.",0.14285714285714285,0.02631578947368421,1.0341331958770752
sim_NM_na_nn_pd05_h2_3,The source of the huge river is the clear spring.,Source of the huge river is the clear spring.,0.2,0.10204081632653061,1.0204272270202637
sim_NM_amp_nn_oc05_h2_9,The salt breeze came across from the sea.,The swap breeze came from across the sea.,0.375,0.2682926829268293,1.026537537574768
sim_NM_amp_nn_pd06_h16_3,He broke a new shoelace that day.,He broke a new shoelace for that day.,0.14285714285714285,0.12121212121212122,1.0242829322814941
sim_NM_na_nn_pd12_h10_5,The play seems dull and quite stupid.,.,1.0,0.972972972972973,1.0248600244522095
sim_NM_amp_nn_oc16_h2_6,A pot of tea helps to pass the evening.,A pot of tea helps to pass the evening.,0.0,0.0,1.0234719514846802
sim_NM_amp_nn_oc17_h12_9,A lame back kept his score low.,Elaine back kept his score low.,0.2857142857142857,0.12903225806451613,1.0268945693969727
sim_NM_amp_nn_pd14_h18_2,The child almost hurt the small dog.,The child almost hurt the small dog.,0.0,0.0,1.0352859497070312
sim_NM_amp_nn_oc17_h12_6,He ordered peach pie with ice cream.,He ordered Peach pie with ice cream.,0.14285714285714285,0.027777777777777776,1.0286521911621094
sim_NM_na_nn_oc08_h14_2,He said the same phrase thirty times.,He said the same phrase 30 times.,0.14285714285714285,0.16216216216216217,1.0197561979293823
sim_NM_na_nn_oc06_h16_5,The urge to write short stories is rare.,The urge to write short stories is rare.,0.0,0.0,1.0251505374908447
sim_NM_amp_nn_pd14_h18_5,Torn scraps littered the stone floor.,Torn scraps littered the stone floor.,0.0,0.0,1.0298268795013428
sim_NM_na_nn_oc16_h2_8,The soft cushion broke the man's fall.,The soft cushion broke the man's foam.,0.14285714285714285,0.07894736842105263,1.0248500108718872
sim_NM_amp_nn_pd08_h14_7,Write a fond note to the friend you cherish.,Write a found node to the friend you cherish.,0.2222222222222222,0.045454545454545456,1.0449659824371338
sim_NM_na_nn_pd12_h10_7,The term ended in late june that year.,The term ended in late June that year.,0.125,0.02631578947368421,1.030631184577942
sim_NM_na_nn_pd04_h15_5,Those thistles bend in a high wind.,Those thistles bend in a high wind.,0.0,0.0,1.0281999111175537
sim_NM_amp_nn_pd05_h2_9,The salt breeze came across from the sea.,So I'll breeze came across the sea.,0.375,0.2682926829268293,1.0348719358444214
sim_NM_amp_nn_oc07_h12_3,The pennant waved when the wind blew.,The Pennant waved when the wind blew.,0.14285714285714285,0.02702702702702703,1.0302873849868774
sim_NM_amp_nn_pd12_h10_7,The term ended in late june that year.,To term ended in late June that year.,0.25,0.07894736842105263,1.034230351448059
sim_NM_amp_nn_oc04_h15_3,A salt pickle tastes fine with ham.,A salt pickle tastes fine with ham.,0.0,0.0,1.0279412269592285
sim_NM_na_nn_pd11_h15_8,The spot on the blotter was made by green ink.,Spot on. The bladder was made by green ink.,0.5,0.21739130434782608,1.0351148843765259
sim_NM_amp_nn_oc06_h16_7,The pirates seized the crew of the lost ship.,The Pirates seized the crew of the lost ship.,0.1111111111111111,0.022222222222222223,1.0285478830337524
sim_NM_na_nn_oc08_h14_8,Clothes and lodging are free to new men.,Clothes and lodging are free to new men.,0.0,0.0,1.023681640625
sim_NM_amp_nn_oc06_h16_8,We tried to replace the coin but failed.,We tried to replace the coin but failed.,0.0,0.0,1.0327397584915161
sim_NM_na_nn_pd06_h16_4,The coffee stand is too high for the couch.,The coffee stand is too high for the couch.,0.0,0.0,1.0227067470550537
sim_NM_amp_nn_oc08_h14_7,Write a fond note to the friend you cherish.,Write a fond note to the friend you cherish.,0.0,0.0,1.039777159690857
sim_NM_amp_nn_oc11_h15_9,Mud was spattered on the front of his white shirt.,Mother was spattered on the front of his white shirt.,0.1,0.1,1.0311071872711182
sim_NM_amp_nn_pd16_h2_10,The girl at the booth sold fifty bonds.,The girl at the booth sold 50 bonds.,0.125,0.1282051282051282,1.0304864645004272
sim_NM_amp_nn_pd09_h14_2,He said the same phrase thirty times.,He said the same phrase 30 times.,0.14285714285714285,0.16216216216216217,1.03755521774292
sim_NM_na_nn_pd16_h2_6,A pot of tea helps to pass the evening.,A pot of tea helps to pass the evening.,0.0,0.0,1.0228341817855835
sim_NM_amp_nn_oc04_h15_6,Pure bred poodles have curls.,Purebred poodles have curls.,0.4,0.034482758620689655,1.0304901599884033
sim_NM_amp_nn_oc02_h17_9,A rag will soak up spilled water.,He knew the skill of the great young actress.,1.2857142857142858,1.0303030303030303,1.0330042839050293
sim_NM_amp_nn_pd06_h16_4,The coffee stand is too high for the couch.,That coffee stand is too high for the couch.,0.1111111111111111,0.046511627906976744,1.0276445150375366
sim_NM_na_nn_pd01_h18_7,The doctor cured him with these pills.,Doctor cured him with these pills.,0.2857142857142857,0.13157894736842105,1.02193021774292
sim_NM_amp_nn_oc17_h12_7,Weave the carpet on the right hand side.,Weave the carpet on the right hand side.,0.0,0.0,1.03742253780365
sim_NM_amp_nn_oc16_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0301510095596313
sim_NM_na_nn_pd16_h2_7,Smoky fires lack flame and heat.,Smoky fires lacked flame and heat.,0.16666666666666666,0.0625,1.0240387916564941
sim_NM_na_nn_pd08_h14_9,We frown when events take a bad turn.,.,1.0,0.972972972972973,1.0289287567138672
sim_NM_na_nn_pd14_h18_7,The doctor cured him with these pills.,The doctor cured him with these pills.,0.0,0.0,1.021894097328186
sim_NM_na_nn_oc05_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0245546102523804
sim_NM_amp_nn_oc17_h12_2,Leaves turn brown and yellow in the fall.,Leaves turn brown and yellow in the fall.,0.0,0.0,1.0315073728561401
sim_NM_na_nn_oc11_h15_1,The young kid jumped the rusty gate.,The young kid jumped the rusty gate.,0.0,0.0,1.0262668132781982
sim_NM_amp_nn_oc16_h2_4,Kick the ball straight and follow through.,Kick the ball straight and follow through.,0.0,0.0,1.0307607650756836
sim_NM_na_nn_oc16_h2_10,The girl at the booth sold fifty bonds.,The girl at the booth sold 50 bonds.,0.125,0.1282051282051282,1.0303282737731934
sim_NM_na_nn_pd05_h2_6,A pot of tea helps to pass the evening.,Party helps you pass the evening.,0.5555555555555556,0.3333333333333333,1.0260902643203735
sim_NM_na_nn_pd05_h2_9,The salt breeze came across from the sea.,So I'll breeze came across the sea.,0.375,0.2682926829268293,1.0228710174560547
sim_NM_na_nn_pd08_h14_7,Write a fond note to the friend you cherish.,Write a found node to defend you cherish.,0.4444444444444444,0.1590909090909091,1.0312168598175049
sim_NM_amp_nn_pd05_h2_7,Smoky fires lack flame and heat.,Smoky flares like flame and heat.,0.3333333333333333,0.15625,1.0374882221221924
sim_NM_amp_nn_pd14_h18_10,Add the store’s account to the last cent.,Add the stores account to the last sent.,0.25,0.04878048780487805,1.0330376625061035
sim_NM_amp_nn_pd09_h14_10,Port is a strong wine with a smoky taste.,Porter is a strong wine with a smoky taste.,0.1111111111111111,0.04878048780487805,1.0324811935424805
sim_NM_na_nn_pd11_h15_6,Pure bred poodles have curls.,Prove it. Poodles have curls.,0.6,0.27586206896551724,1.0209580659866333
sim_NM_na_nn_pd01_h18_10_r,Add the store’s account to the last cent.,Add the stores account to the last.,0.375,0.14634146341463414,1.035943865776062
sim_NM_na_nn_pd15_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0273667573928833
sim_NM_amp_nn_oc02_h17_10,A shower of dirt fell from the hot pipes.,A rag will soak up spilled water.,0.8888888888888888,0.7317073170731707,1.0398728847503662
sim_NM_na_nn_pd09_h14_3,Pluck the bright rose without leaves.,Pluck the bright rows without Lee.,0.3333333333333333,0.16216216216216217,1.0273997783660889
sim_NM_amp_nn_oc08_h14_10,Port is a strong wine with a smoky taste.,Port is a strong wine with a smoky taste.,0.0,0.0,1.039422631263733
sim_NM_na_nn_oc06_h16_3,He broke a new shoelace that day.,He broke a new shoelace that day.,0.0,0.0,1.023271918296814
sim_NM_na_nn_oc16_h2_3,The source of the huge river is the clear spring.,The source of the huge river is the clear spring.,0.0,0.0,1.0336830615997314
sim_NM_amp_nn_oc07_h12_4,"Split the log with a quick, sharp blow.",Spread the log with a quick sharp blow.,0.25,0.1282051282051282,1.0288596153259277
sim_NM_na_nn_pd05_h2_1,The boy was there when the sun rose.,The boy was there when the sun rose.,0.0,0.0,1.0183351039886475
sim_NM_amp_nn_pd05_h2_4,Kick the ball straight and follow through.,Kick the ball straight and follow through.,0.0,0.0,1.0361312627792358
sim_NM_na_nn_pd11_h15_3,A salt pickle tastes fine with ham.,Assault pickle tastes fine with with ham.,0.42857142857142855,0.2,1.027077078819275
sim_NM_na_nn_pd11_h15_2,Guess the result from the first scores.,Guess the result from the first scores.,0.0,0.0,1.0270847082138062
sim_NM_amp_nn_oc17_h12_10,We find joy in the simplest things.,We find joy in the simplest things.,0.0,0.0,1.0200674533843994
sim_NM_na_nn_pd11_h15_9,Mud was spattered on the front of his white shirt.,Blood was spattered on the front of his white shirt.,0.1,0.08,1.0196610689163208
sim_NM_amp_nn_pd16_h2_8,The soft cushion broke the man's fall.,The soft cushion broke the man's fall.,0.0,0.0,1.0337938070297241
sim_NM_amp_nn_pd01_h18_4,The sky that morning was clear and bright blue.,Sky that morning was clear and bright blue.,0.2222222222222222,0.10638297872340426,1.0261015892028809
sim_NM_na_nn_pd09_h14_8,Clothes and lodging are free to new men.,Clothes and lodging are free to the new men.,0.125,0.1,1.0337882041931152
sim_NM_amp_nn_oc16_h2_2,A rod is used to catch pink salmon.,A ride is used to catch pink salmon.,0.125,0.05714285714285714,1.0486174821853638
sim_NM_amp_nn_oc05_h2_4,Kick the ball straight and follow through.,Kick the ball straight and follow through.,0.0,0.0,1.0298494100570679
sim_NM_amp_nn_pd08_h14_4,Two plus seven is less than ten.,2 + 7 is less than 10.,0.5714285714285714,0.46875,1.0376650094985962
sim_NM_na_nn_oc07_h12_1,The bark of the pine tree was shiny and dark.,The bark of the pine tree was shiny and dark.,0.0,0.0,1.0221213102340698
sim_NM_na_nn_oc11_h15_9,Mud was spattered on the front of his white shirt.,Mother was battered on the front of his white shirt.,0.2,0.14,1.0242122411727905
sim_NM_amp_nn_oc06_h16_4,The coffee stand is too high for the couch.,The coffee stand is too high for the couch.,0.0,0.0,1.0337963104248047
sim_NM_na_nn_pd06_h16_10,The sofa cushion is red and of light weight.,The SOFA cushion is red and of lightweight.,0.3333333333333333,0.11363636363636363,1.0237003564834595
sim_NM_na_nn_oc09_h14_1,A cramp is no small danger on a swim.,A cramp is no small danger on a swim.,0.0,0.0,1.030089020729065
sim_NM_na_nn_pd09_h14_4,Two plus seven is less than ten.,2 + 7 is less than 10.,0.5714285714285714,0.46875,1.0241034030914307
sim_NM_amp_nn_pd05_h2_2,A rod is used to catch pink salmon.,"Right, it's usually catch pink salmon.",0.625,0.37142857142857144,1.0273590087890625
sim_NM_na_nn_pd04_h15_3,A salt pickle tastes fine with ham.,The salt pickle tastes fine with ham.,0.14285714285714285,0.08571428571428572,1.02036452293396
sim_NM_na_nn_pd05_h2_10,The girl at the booth sold fifty bonds.,Wrote the booth sold 50 bonds.,0.5,0.38461538461538464,1.020361065864563
sim_NM_amp_nn_pd06_h16_9,She sewed the torn coat quite neatly.,She sold the torn colt quite neatly.,0.2857142857142857,0.10810810810810811,1.0248533487319946
sim_NM_amp_nn_oc17_h12_8,Hemp is a weed found in parts of the tropics.,Hemp is weed found in parts of the tropics.,0.1,0.044444444444444446,1.0282713174819946
sim_NM_amp_nn_oc08_h14_6,Bring your problems to the wise chief.,"Bring your problems to the wise, chief.",0.14285714285714285,0.02631578947368421,1.0383168458938599
sim_NM_na_nn_pd11_h15_10,The cigar burned a hole in the desk top.,Sugar burned a hole in his nice desktop.,0.5555555555555556,0.35,1.0241774320602417
sim_NM_na_nn_pd15_h15_7,The tree top waved in a graceful way.,The tree tap waved in a graceful way.,0.125,0.02702702702702703,1.0269278287887573
sim_NM_amp_nn_pd09_h14_1,A cramp is no small danger on a swim.,A cramp is no small danger on a swim.,0.0,0.0,1.031308889389038
sim_NM_na_nn_pd06_h16_7,The pirates seized the crew of the lost ship.,The person seized the crew of the lost ship.,0.1111111111111111,0.1111111111111111,1.0226516723632812
sim_NM_na_nn_pd04_h15_1,The young kid jumped the rusty gate.,The young kid jumped the rusty gate.,0.0,0.0,1.0212810039520264
sim_NM_amp_nn_pd14_h18_8,The new girl was fired today at noon.,The New Girl was fired today at noon.,0.25,0.05405405405405406,1.0359089374542236
sim_NM_na_nn_pd06_h16_8,We tried to replace the coin but failed.,We tried to replace the coin but failed.,0.0,0.0,1.0199689865112305
sim_NM_na_nn_pd14_h18_2,The child almost hurt the small dog.,The child almost hurt the small dog.,0.0,0.0,1.0250518321990967
sim_NM_na_nn_pd01_h18_4,The sky that morning was clear and bright blue.,This guy that morning was clear and bright blue.,0.2222222222222222,0.0851063829787234,1.0255215167999268
sim_NM_na_nn_pd14_h18_4,The sky that morning was clear and bright blue.,The sky that morning was clear and bright blue.,0.0,0.0,1.0249593257904053
sim_NM_na_nn_pd08_h14_5,The glow deepened in the eyes of the sweet girl.,The glow deepened in the eyes of the sweet girl.,0.0,0.0,1.0283628702163696
sim_NM_amp_nn_oc05_h2_6,A pot of tea helps to pass the evening.,A pot of tea helps pass the evening.,0.1111111111111111,0.07692307692307693,1.0252560377120972
sim_NM_amp_nn_oc06_h16_9,She sewed the torn coat quite neatly.,She sewed the torn coat quite neatly.,0.0,0.0,1.0275810956954956
sim_NM_na_nn_oc11_h15_7,The tree top waved in a graceful way.,The treetop waved in a graceful way.,0.25,0.02702702702702703,1.0261609554290771
sim_NM_amp_nn_pd11_h15_3,A salt pickle tastes fine with ham.,"Assault, pickled taste fine went with ham.",0.7142857142857143,0.2857142857142857,1.0413706302642822
sim_NM_amp_nn_pd08_h14_5,The glow deepened in the eyes of the sweet girl.,The glow deepened in the eyes of the sweet girl.,0.0,0.0,1.0362224578857422
sim_NM_amp_nn_oc11_h15_5,Those thistles bend in a high wind.,Those thistles bend in a high wind.,0.0,0.0,1.0395193099975586
sim_NM_na_nn_pd06_h16_1,The empty flask stood on the tin tray.,The empty flasks stood on the tin tray.,0.125,0.02631578947368421,1.0227171182632446
