LIST,SENTENCE,KEYWORD_01,KEYWORD_02,KEYWORD_03,KEYWORD_04,KEYWORD_05,NOTES
6,7. March the soldiers past the next hill.,march,soldiers,past|passed,next,hill,
6,8. A cup of sugar makes sweet fudge.,cup,sugar,makes|make,sweet,fudge,
6,9. Place a rosebush near the porch steps.,place,rosebush|rose bush,near,porch,steps,
6,10. Both lost their lives in the raging storm.,both,lost,lives,raging,storm,
7,1. We talked of the side show in the circus.,we,talked,side,show,circus,
7,2. Use a pencil to write the first draft.,use,pencil,write,first,draft,
7,3. He ran half way to the hardware store.,he,ran,halfway|half way,hardware|hard ware,store,
7,4. The clock struck to mark the third period.,clock,struck,mark,third,period,
7,5. A small creek cut across the field.,small,creek,cut,across,field,
7,6. Cars and busses stalled in snow drifts.,cars,busses|buses,stalled,snow,drifts,
7,7. The set of china hit the floor with a crash.,set,china,hit,floor,crash,
7,8. This is a grand season for hikes on the road.,this,grand,season,hikes,road,
7,9. The dune rose from the edge of the water.,dune,rose,from,edge,water,
7,10. Those words were the cue for the actor to leave.,words,were,cue,actor,leave,
8,1. A yacht slid around the point into the bay.,yacht,slid,around,point,bay,
8,2. The two met while playing on the sand.,two|to|too|2,met,while,playing,sand,
8,3. The ink stain dried on the finished page.,ink,stain,dried,finished,page,
8,4. The walled town was seized without a fight.,walled,town,seized,without,fight,
8,5. The lease ran out in sixteen weeks.,lease,ran,out,sixteen|16,weeks,
8,6. A tame squirrel makes a nice pet.,tame,squirrel,makes,nice,pet,
8,7. The horn of the car woke the sleeping cop.,horn,car,woke,sleeping,cop,
8,8. The heart beat strongly and with firm strokes.,heart,beat|beet|beats|beets,strongly,firm,strokes,
8,9. The pearl was worn in a thin silver ring.,pearl,worn,thin,silver,ring,
8,10. The fruit peel was cut in thick slices.,fruit,peel,cut,thick,slices,
9,1. The Navy attacked the big task force.,navy,attacked,big,task,force,
9,2. See the cat glaring at the scared mouse.,see|sea,cat,glaring,scared,mouse,
9,3. There are more than two factors here.,there|they're|their,more,two|to|too|2,factors,here,
9,4. The hat brim was wide and too droopy.,hat,brim,wide,too|to|two|2,droopy,
9,5. The lawyer tried to lose his case.,lawyer,tried,lose|loose,his,case,
9,6. The grass curled around the fence post.,grass,curled,around,fence,post,
9,7. Cut the pie into large parts.,cut,pie,into,large,parts,
9,8. Men strive but seldom get rich.,men,strive,seldom,get,rich,
9,9. Always close the barn door tight.,always,close,barn,door,tight,
9,10. He lay prone and hardly moved a limb.,lay,prone,hardly,moved,limb,
10,1. The slush lay deep along the street.,slush,lay,deep,along,street,
10,2. A wisp of cloud hung in the blue air.,wisp,cloud,hung,blue,air,
10,3. A pound of sugar costs more than eggs.,pound,sugar,costs,more,eggs,
10,4. The fin was sharp and cut the clear water.,fin,sharp,cut,clear,water,
10,5. The play seems dull and quite stupid.,play,seems,dull,quite,stupid,
10,6. Bail the boat to stop it from sinking.,bail,boat,stop,it,sinking,
10,7. The term ended in late june that year.,term,ended,late,june,year,
10,8. A Tusk is used to make costly gifts.,tusk,used,make,costly,gifts,
10,9. Ten pins were set in order.,ten|10,pins,were,set,order,
10,10. The bill was paid every third week.,bill,paid,every,third,week,
11,1. Oak is strong and also gives shade.,oak,strong,also,gives,shade,
11,2. Cats and Dogs each hate the other.,cats,dogs,each,hate,other,
11,3. The pipe began to rust while new.,pipe,began,rust,while,new|knew,
11,4. Open the crate but don't break the glass.,open,crate,don't,break,glass,
11,5. Add the sum to the product of these three.,add|ad,sum|some,product,these,three|3,
11,6. Thieves who rob friends deserve jail.,thieves,rob,friends,deserve,jail,
11,7. The ripe taste of cheese improves with age.,ripe,taste,cheese,improves,age,
11,8. Act on these orders with great speed.,act,these,orders,great,speed,
11,9. The hog crawled under the high fence.,hog,crawled,under,high,fence,
11,10. Move the vat over the hot fire.,move,vat,over,hot,fire,
12,1. The bark of the pine tree was shiny and dark.,bark,pine,tree,shiny,dark,
12,2. Leaves turn brown and yellow in the fall.,leaves,turn,brown,yellow,fall,
12,3. The pennant waved when the wind blew.,pennant,waved,when,wind,blew,
12,"4. Split the log with a quick, sharp blow.",split,log,quick,sharp,blow,
12,5. Burn peat after the logs give out.,burn,peat|peet|pete,logs,give,out,
12,6. He ordered peach pie with ice cream.,ordered,peach,pie,ice,cream,
12,7. Weave the carpet on the right hand side.,weave,carpet,right,hand,side,
12,8. Hemp is a weed found in parts of the tropics.,hemp,weed,found,parts,tropics,
12,9. A lame back kept his score low.,lame,back,kept,score,low,
12,10. We find joy in the simplest things.,we,find,joy,simplest,things,
13,1. Type out three lists of orders.,type,out,three|3,lists,orders,
13,2. The harder he tried the less he got done.,harder,tried,less,got,done,
13,3. The boss ran the show with a watchful eye.,boss,ran,show,watchful,eye,
13,4. The cup cracked and spilled its contents.,cup,cracked,spilled,its,contents,
13,5. Paste can cleanse the most dirty brass.,paste,cleanse,most,dirty,brass,
13,6. The slang word for raw whiskey is booze.,slang,word,raw,whiskey,booze,
13,7. It caught its hind paw in a rusty trap.,caught,hind,paw,rusty,trap,
13,8. The wharf could be seen at the farther shore.,wharf,could,seen,farther,shore,
13,9. Feel the heat of the weak dying flame.,feel,heat,weak,dying,flame,
13,10. The tiny girl took off her hat.,tiny,girl,took,off,hat,
14,1. A cramp is no small danger on a swim.,cramp,no,small,danger,swim,
14,2. He said the same phrase thirty times.,said,same,phrase,thirty|30,times,
14,3. Pluck the bright rose without leaves.,pluck,bright,rose,without,leaves,
14,4. Two plus seven is less than ten.,two|to|too|2,plus,seven|7,less,ten|10,
14,5. The glow deepened in the eyes of the sweet girl.,glow,deepened,eyes,sweet,girl,
14,6. Bring your problems to the wise chief.,bring,your|you're,problems,wise,chief,
14,7. Write a fond note to the friend you cherish.,write,fond,note,friend,cherish,
14,8. Clothes and lodging are free to new men.,clothes,lodging,free,new,men,
14,9. We frown when events take a bad turn.,frown,events,take,bad,turn,
14,10. Port is a strong wine with a smoky taste.,port,strong,wine,smoky,taste,
15,1. The young kid jumped the rusty gate.,young,kid,jumped,rusty,gate,
15,2. Guess the result from the first scores.,guess,result,from,first,scores,
15,3. A salt pickle tastes fine with ham.,salt,pickle,tastes,fine,ham,
15,4. The just claim got the right verdict.,just,claim,got,right,verdict,
15,5. Those thistles bend in a high wind.,those,thistles,bend,high,wind,
15,6. Pure bred poodles have curls.,pure,bred|bread,poodles,have,curls,
15,7. The tree top waved in a graceful way.,tree,top,waved,graceful,way,
15,8. The spot on the blotter was made by green ink.,spot,blotter,made,green,ink,
15,9. Mud was spattered on the front of his white shirt.,mud,spattered,front,white,shirt,
15,10. The cigar burned a hole in the desk top.,cigar,burned,hole|whole,desk,top,
16,1. The empty flask stood on the tin tray.,empty,flask,stood,tin,tray,
16,2. A speedy man can beat this track mark.,speedy,man,beat|beet,track,mark,
16,3. He broke a new shoelace that day.,he,broke,new,shoelace,day,
16,4. The coffee stand is too high for the couch.,coffee,stand,too|to|two|2,high,couch,
16,5. The urge to write short stories is rare.,urge,write,short,stories,rare,
16,6. The pencils have all been used.,pencils,have,all,been,used,
16,7. The pirates seized the crew of the lost ship.,pirates,seized,crew,lost,ship,
16,8. We tried to replace the coin but failed.,we,tried,replace,coin,failed,
16,9. She sewed the torn coat quite neatly.,sewed|sowed,torn,coat,quite,neatly,"If it weren’t for the other key words, I would have included “she” for the first key word."
16,10. The sofa cushion is red and of light weight.,sofa,cushion,red,light,weight|wait,
17,1. The jacket hung on the back of the wide chair.,jacket,hung,back,wide,chair,
17,2. At that high level the air is pure.,that,high,level,air,pure,
17,3. Drop the two when you add the figures.,drop,two|to|too|2,when,add,figures,Here I wasn’t completely sure which to count whether “you” or “when” but “when” has been included in the keywords before so I included it instead of “you”
17,4. A filing case is now hard to buy.,filing,case,now,hard,buy,
17,5. An abrupt start does not win the prize.,abrupt,start,does,win,prize,
17,6. Wood is best for making toys and blocks.,wood|would,best,making,toys,blocks,
17,7. The office paint was a dull sad tan.,office,paint,dull,sad,tan,
17,8. He knew the skill of the great young actress.,knew,skill,great,young,actress,
17,9. A rag will soak up spilled water.,rag,soak,up,spilled,water,
17,10. A shower of dirt fell from the hot pipes.,shower,dirt,fell,hot,pipes,
18,1. Steam hissed from the broken valve.,steam,hissed,from,broken,valve,
18,2. The child almost hurt the small dog.,child,almost,hurt,small,dog,
18,3. There was a sound of dry leaves outside.,there|they're|their,sound,dry,leaves,outside,
18,4. The sky that morning was clear and bright blue.,sky,morning,clear,bright,blue,
18,5. Torn scraps littered the stone floor.,torn,scraps,littered,stone,floor,
18,6. Sunday is the best part of the week.,sunday,is,best,part,week|weak,I wasn’t sure which to include whether “is” or “the” so I included “is” for the key term since it is considered a verb.
18,7. The doctor cured him with these pills.,doctor,cured,him,these,pills,
18,8. The new girl was fired today at noon.,new|knew,girl,fired,today,noon,
18,9. They felt gay when the ship arrived in port.,felt,gay,ship,arrived,port,
18,10. Add the store’s account to the last cent.,add,store’s,account,last,cent|scent,
19,1. Acid burns holes in wool cloth.,acid,burns,holes,wool,cloth,
19,2. Fairy tales should be fun to write.,fairy,tales,should,fun,write,
19,3. Eight miles of woodland burned to waste.,eight,miles,woodland,burned,waste,
19,4. The third act was dull and tired the players.,third,act,dull,tired,players,
19,5. A young child should not suffer fright.,young,child,should,suffer,fright,
19,6. Add the column and put the sum here.,add,column,put,sum,here,
19,7. We admire and love a good cook.,we,admire,love,good,cook,
19,8. There the flood mark is ten inches.,there,flood,mark,ten,inches,
19,9. He carved a head from the round block of marble.,carved,head,round,block,marble,
19,10. She has a smart way of wearing clothes.,she,smart,way,wearing,clothes,
20,1. The fruit of a fig tree is apple-shaped.,fruit,fig,tree,is,apple-shaped,The word “is” is counted as a key term because “apple-shaped” is considered one word and “is” is used as a verb.
20,2. Corn cobs can be used to kindle a fire.,corn,cobs,used,kindle,fire,
20,3. Where were they when the noise started.,where,were,when,noise,started,Decided to use “when” instead of “they” but I thought both could count.
20,4. The paper box is full of thumb tacks.,paper,box,full,thumb,tacks,
20,5. Sell your gift to a buyer at a good gain.,sell,gift,buyer,good,gain,"Same here, “your” could be considered I believe but there are only five key words"
20,6. The tongs lay beside the ice pail.,tongs,lay,beside,ice,pail,
20,7. The petals fall with the next puff of wind.,petals,fall,next,puff,wind,
20,8. Bring your best compass to the third class.,bring,best,compass,third,class,"Same here, “your” could be considered I believe but there only five key words"
20,9. They could laugh although they were sad.,they,could,laugh,were,sad,
20,10. Farmers came in to thresh the oat crop.,farmers,came,thresh,oat,crop,
21,1. The brown house was on fire to the attic.,brown,house,was,fire,attic,
21,2. The lure is used to catch trout and flounder.,lure,used,catch,trouth,flounder,
21,3. Float the soap on top of the bath water.,float,soap,top,bath,water,
21,4. A blue crane is a tall wading bird.,blue,crane,tall,wading,bird,
21,5. A fresh start will work such wonders.,fresh,start,will,work,wonders,
21,6. The club rented the rink for the fifth night.,club,rented,rink,fifth,night,
21,7. After the dance they went straight home.,after,dance,went,straight,home,"Same here, “they” could be considered I believe but there are only five key words"
21,8. The hostess taught the new maid to serve.,hostess,taught,new,maid,serve,
21,9. He wrote his last novel there at the inn.,wrote,last,novel,there,inn,"Same here, “he” and “his” could be considered I believe but there are only five key words."
21,10. Even the worst will beat his low score.,even,worst,beat,low,score,"Same here, “his” could be considered I believe but there are only five key words."
22,1. The cement had dried when he moved it.,cement,dried,when,moved,it,"Same here, ""he"" could be considered I believe but there are only five key words."
22,2. The loss of the second ship was hard to take.,loss,second,ship,hard,take,
22,3. The fly made its way along the wall.,fly,made,way,along,wall,
22,4. Do that with a wooden stick.,do,that,with,wooden,stick,
22,5. Lire wires should be kept covered.,lire,wires,should,kept,covered,
22,6. The large house had hot water taps.,large,house,hot,water,taps,
22,7. It is hard to erase blue or red ink.,hard,erase,blue,red,ink,
22,8. Write at once or you may forget it.,write,once,you,May,forget,
22,9. The doorknob was made of bright clean brass.,doorknob,made,bright,clean,brass,
22,10. The wreck occurred by the bank on Main street.,wreck,occurred,bank,Main,street,
23,1. A pencil with black lead writes best.,pencil,black,lead,writes,best,
23,2. Coax a young calf to drink from a bucket.,coax,young,calf,drink,bucket,
23,3. Schools for ladies teach charm and grace.,schools,ladies,teach,charm,grace,
23,4. The lamp shone with a steady green flame.,lamp,shone,steady,green,flame,
23,5. They took the axe and the saw to the forest.,they,took,axe,saw,forest,
23,6. The ancient coin was quite dull and worn.,ancient,coin,quite,dull,worn,
23,7. The shaky barn fell with a loud crash.,shaky,barn,fell,loud,crash,
23,8. Jazz and swing fans like fast music.,jazz,swing,fans,fast,music,"Same here, “like” could be considered I believe but there are only five key words."
23,9. Rake the rubbish up and then burn it.,rake,rubbish,up,burn,it,
23,10. Slash the gold cloth into fine ribbons.,slash,gold,cloth,fine,ribbons,
24,1. Try to have the court decide the case.,try,have,court,decide,case,
24,2. They are pushed back each time they attack.,pushed,back,each,time,attack,"Same here, “they” could be considered I believe but there are only five key words."
24,3. He broke his ties with groups of former friends.,broke,ties,groups,former,friends,"Same here, “he” and “his” could be considered I believe but there are only five key words."
24,4. They floated on the raft to sun their white backs.,floated,raft,sun,white,backs,"Same here, “they” and “their” could be considered I believe but there are only five key words"
24,5. The map had an X that meant nothing.,map,had,X,meant,nothing,
24,6. Whitings are small fish caught in nets.,whitings,small,fish,caught,nets,
24,7. Some ads serve to cheat buyers.,some,ads,serve,cheat,buyers,
24,8. Jerk the top and the bell rings weakly.,jerk,rope,bell,rings,weakly,
24,9. A waxed floor makes us lose balance.,waxed,floor,makes,lose,balance,"Same here, “us” could be considered I believe but there are only five key words"
24,"10. Madam, this is the best brand of corn.",madam,this,best,brand,corn,
25,1. On the islands the sea breeze is soft and mild.,islands,sea,breeze,soft,mild,
25,2. The play began as soon as we sat down.,play,began,soon,sat,down,"Same here, “we” could be considered I believe but there are only five key words"
25,3. This will lead the world to more sound and fury.,lead,world,more,sound,fury,
25,4. Add salt before you fry the egg.,add,salt,before,fry,egg,"Same here, “you"" could be considered I believe but there are only five key words."
25,5. The rush for funds reached its peak Tuesday.,rush,funds,reached,peak,Tuesday,
25,6. The birch looked stark white and lonesome.,birch,looked,stark,white,lonesome,
25,7. The box is held by a bright red snapper.,box,held,bright,red,snapper,
25,"8. To make pure ice, you freeze water.",make,pure,ice,freeze,water,"Same here, “you"" could be considered I believe but there are only five key words."
25,9. The first worm gets snapped early.,first,worm,gets,snapped,early,
25,10. Jump the fence and hurry up the bank.,jump,fence,hurry,up,bank,
26,1. Yell and clap as the curtain slides back.,yell,clap,curtain,slides,back,
26,2. They are men who walk the middle of the road.,men,who,walk,middle,road,"Same here, “they” could be considered I believe but there are only five key words."
26,3. Both brothers wear the same size.,both,brothers,wear,same,size,
26,4. In some form or another we need fun,some,form,another,need,fun,"Same here, “we” could be considered I believe but there are only five key words."
26,5. The prince ordered his head chopped off.,prince,ordered,head,chopped,off,"Same here, “his” could be considered I believe but there are only five key words."
26,6. The houses are built of red clay bricks.,houses,built,red,clay,bricks,
26,7. Ducks fly north but lack a compass.,ducks,fly,north,lack,compass,
26,8. Fruit flavors are used in fizz drinks.,fruit,flavors,used,fizz,drinks,
26,9. These pills do less good than others.,pills,less,good,than,others,"Same here, “these” could be considered I believe but there are only five key words."
26,10. Canned pears lack full flavor.,canned,pears,lack,full,flavor,
27,1. The dark pot hung in the front closet.,dark,pot,hung,front,closet,
27,2. Carry the pail to the wall and spill it there.,carry,pail,wall,spill,there,
27,3. The train brought our hero to the big town.,train,brought,hero,big,town,"Same here, “our” could be considered I believe but there are only five key words."
27,4. We are sure that one war is enough.,we,sure,one,war,enough,
27,5. Gray paint stretched for miles around.,gray,paint,stretched,miles,around,
27,6. The rude laugh filled the empty room.,rude,laugh,filled,empty,room,
27,7. High seats are best for football fans.,high,seats,best,football,fans,
27,8. Tea served from the brown jug is tasty.,tea,served,brown,jug,tasty,
27,9. A dash of pepper spoils beef stew.,dash,pepper,spoils,beef,stew,
27,10. A zestful food is the hot-cross bun.,zestful,food,is,hot-cross,bun,
28,1. The horse trotted around the field at a brisk pace.,horse,trotted,field,brisk,pace,"Same here, “around” could be considered I believe but there are only five key words."
28,2. Find the twin who stole the pearl necklace.,find,twin,stole,pearl,necklace,"Same here, “who” could be considered I believe but there are only five key words."
28,3. Cut the cord that binds the box tightly.,cut,cord,binds,box,tightly,
28,4. The red tape bound the smuggled food.,red,tape,bound,smuggled,food,
28,5. Look in the corner to find the tan shirt.,look,corner,find,tan,shirt,
28,6. The cold drizzle will halt the bond drive.,cold,drizzle,halt,bond,drive,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
28,7. Nine men were hired to dig the ruins.,nine,men,hired,dig,ruins,“were” is a verb and so I think it could be considered but there are only five key words.
28,8. The junk yard had a moldy smell.,junk,yard,had,moldy,smell,
28,9. The flint sputtered and lit a pine torch.,flint,sputtered,lit,pine,torch,
28,10. Soak the cloth and drown the sharp odor.,soak,cloth,drown,sharp,odor,
29,1. The shelves were bare of both jam or crackers.,shelves,bare,both,jam,crackers,“were” is a verb and so I think it could be considered but there are only five key words.
29,2. A joy to every child is the swan boat.,joy,every,child,swan,boat,
29,3. All sat frozen and watched the screen.,all,sat,frozen,watched,screen,
29,4. A cloud of dust stung his tender eyes.,cloud,dust,stung,tender,eyes,
29,5. To reach the end he needs much courage.,reach,end,needs,much,courage,"Same here, ""he"" could be considered I believe but there are only five key words."
29,6. Shape the clay gently into block form.,shape,clay,gently,block,form,
29,7. The ridge on a smooth surface is a bump or flaw.,ridge,smooth,surface,bump,flaw,
29,8. Hedge apples may stain your hands green.,hedge,apples,stain,hands,green,“may” and “your” could be considered as key words but there are only five key words.
29,"9. Quench your thirst, then eat the crackers.",quench,your,thirst,eat,crackers,"Didn’t include “then” because the others are verbs, pronouns, or a noun and “then” is an adverb."
29,10. Tight curls get limp on rainy days.,tight,curls,limp,rainy,days,I feel like “get” can be considered a key word since it’s a verb but there are only five key words so it wasn’t included.
30,1. The mute muffled the high tones of the horn.,mute,muffled,high,tones,horn,
30,2. The gold ring fits only a pierced ear.,gold,ring,only,pierced,ear,I feel like “fits” can be considered a key word since it’s used as a verb but there are only five key words so it wasn’t included.
30,3. The old pan was covered with hard fudge.,old,pan,covered,hard,fudge,
30,4. Watch the log float in the wide river.,watch,log,float,wide,river,
30,5. The node on the stalk of wheat grew daily.,node,stalk,wheat,grew,daily,
30,6. The heap of fallen leaves was set on fire.,heap,fallen,leaves,set,fire,"Same here, “was” could be considered but there are only five key words."
30,"7. Write fast, if you want to finish early.",write,fast,want,finish,early,"Same here, “you” could be considered but there are only five key words."
30,8. His shirt was clean but one button was gone.,shirt,clean,one,button,gone,"Same here, “his” and “was” could be considered I believe but there are only five key words."
30,9. The barrel of beer was a brew of malt and hops.,barrel,beer,brew,malt,hops,"Same here, “was” could be considered but there are only five key words."
30,10. Tin cans are absent from store shelves.,tin,cans,absent,store,shelves,
31,1. Slide the box into that empty space.,slide,box,into,empty,space,
31,2. The plant grew large and green in the window.,plant,grew,large,green,window,
31,3. The beam dropped down on the workmen’s head.,beam,dropped,down,workmen’s,head,
31,4. Pink clouds floated with the breeze.,pink,clouds,floated,with,breeze,
31,"5. She danced like a swan, tall and graceful.",she,danced,swan,tall,graceful,
31,6. The tube was blown and the tire flat and useless.,tube,blown,tire,flat,useless,
31,7. It is late morning on the old wall clock.,late,morning,old,wall,clock,
31,8. Let’s all join as we sing the last chorus.,all,join,sing,last,chorus,
31,9. The last switch cannot be turned off.,last,switch,cannot,turned,off,
31,10. The fight will end in just six minutes.,fight,end,just,six,minutes,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
32,1. The store walls were lined with colored frocks.,store,walls,lined,colored,frocks,“were” is a verb and so I think it could be considered but there are only five key words.
32,2. The peace league met to discuss their plans.,peace,league,met,discuss,plans,"Same here, “their” could be considered a key word I believe but there are only five key words."
32,3. The rise to fame of a person takes luck.,rise,fame,person,takes,luck,
32,"4. Paper is scarce, so write with much care.",paper,scarce,write,much,care,
32,5. The quick fox jumped on the sleeping cat.,quick,fox,jumped,sleeping,cat,
32,6. The nozzle of the fire hose was bright brass.,nozzle,fire,hose,bright,brass,"Same here, “was” could be considered but there are only five key words."
32,7. Screw the round cap on as tight as needed.,screw,round,cap,tight,needed,
32,8. Time brings us many changes.,time,brings,us,many,changes,
32,9. The purple tie was ten years old.,purple,tie,ten,years,old,"Same here, “was” could be considered but there are only five key words."
32,10. Men think and plan and sometimes act.,men,think,plan,sometimes,act,
33,1. Fill the ink jar with sticky glue.,fill,ink,jar,sticky,glue,
33,2. He smoke a big pipe with strong contents.,smoke,big,pipe,strong,contents,"Same here, ""he"" could be considered I believe but there are only five key words."
33,3. We need grain to keep our mules healthy.,need,grain,keep,mules,healthy,"Same here, “we” could be considered I believe but there are only five key words."
33,4. Pack the records in a neat thin case.,pack,records,neat,thin,case,
33,5. The crunch of feet in the snow was the only sound.,crunch,feet,snow,only,sound,"Same here, “was” could be considered but there are only five key words."
33,6. The copper bowl shone in the sun’s rays.,copper,bowl,shone,sun’s,rays,
33,7. Boards will warp unless kept dry.,boards,warp,unless,kept,dry,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
33,8. The plush chair leaned against the wall.,plush,chair,leaned,against,wall,
33,9. Glass will clink when struck by metal.,glass,clink,when,struck,metal,I feel like “will” can be considered a key word but there are only five key words so it wasn’t included as it has been in the past.
33,10. Bathe and relax in the cool green grass.,bathe,relax,cool,green,grass,
34,1. Nine rows of soldiers stood in line.,nine,rows,soldiers,stood,line,
34,2. The beach is dry and shallow at low tide.,beach,dry,shallow,low,tide,
34,3. The idea is to sew both edges straight.,idea,sew,both,edges,straight,
34,4. The kitten chased the dog down the street.,kitten,chased,dog,down,street,
34,5. Pages bound in cloth make a book.,pages,bound,cloth,make,book,
34,6. Try to trace the fine lines of the painting.,try,trace,fine,lines,painting,
34,7. Women form less than half of the group.,women,form,less,half,group,
34,8. The zones merge in the central part of town.,zones,merge,central,part,town,
34,9. A gem in the rough needs work to polish.,gem,rough,needs,work,polish,
34,10. Code is used when secrets are sent.,code,used,when,secrets,sent,
35,1. Most of the new is easy for us to hear.,most,new,easy,us,hear,
35,2. He used the lathe to make brass objects.,used,lathe,make,brass,objects,"Same here, ""he"" could be considered I believe but there are only five key words."
35,3. The vane on top of the pole revolved in the wind.,vane,top,pole,revolved,wind,
35,4. Mince pie is a dish served to children.,mince,pie,dish,served,children,
35,5. The clan gathered on each dull night.,clan,gathered,each,dull,night,
35,"6. Let it burn, it gives us warmth and comfort.",burn,gives,us,warmth,comfort,I feel like “let” can be considered a key word since it’s used as a verb but there are only five key words so it wasn’t included.
35,7. A castle built from sand fails to endure.,castle,built,sand,fails,endure,
35,8. A child’s wit saved the day for us.,child’s,wit,saved,day,us,
35,9. Tack the strip of carpet to the worn floor.,tack,strip,carpet,worn,floor,
35,10. Next Tuesday we must vote.,next,tuesday,we,must,vote,
36,1. Pour the stew from the pot into the plate.,pour,stew,from,pot,plate,
36,2. Each penny shone like new.,each,penny,shone,like,new,
36,3. The man went to the woods to gather sticks.,man,went,woods,gather,sticks,
36,4. The dirt piles were lines along the road.,dirt,piles,lines,along,road,I feel like “were” can be considered a key word since it’s a verb but there are only five key words so it wasn’t included.
36,5. The logs fell and tumbled into the clear stream.,logs,fell,tumbled,clear,stream,
36,6. Just hoist up and take it away.,just,hoist,up,take,away,
36,7. A ripe plum is fit for a king’s palate.,ripe,plum,fit,king’s,palate,
36,8. Our plans right now are hazy.,our,plans,right,now,hazy,
36,9. Brass rings are sold by these natives.,brass,rings,sold,these,natives,
36,10. It takes a good trap to capture a bear.,takes,good,trap,capture,bear,
37,1. Feed the white mouse some flower seeds.,feed,white,mouse,flower,seeds,
37,2. The thaw came early and freed the stream.,thaw,came,early,freed,stream,
